timestamp,gpu_memory_used_mib,gpu_memory_free_mib,gpu_util_pct,power_w,host_mem_available_kib
2026-08-24T22:12:14,740407107+09:00,646,31442,0,74.48,27648224
2026-08-24T22:12:15,755693395+09:00,646,31442,0,77.37,26374964
2026-08-24T22:12:16,771106691+09:00,1598,30490,0,76.47,25674064
2026-08-24T22:12:17,787111021+09:00,6890,25198,20,103.09,25427836
2026-08-24T22:12:18,805556704+09:00,11242,20846,20,111.54,25422552
2026-08-24T22:12:19,821355157+09:00,14794,17294,21,111.13,25282608
2026-08-24T22:12:20,839452966+09:00,22316,9772,7,197.90,23762980
2026-08-24T22:12:21,856825281+09:00,24076,8012,86,416.65,23759920
2026-08-24T22:12:22,874269103+09:00,25228,6860,84,468.90,23767280
2026-08-24T22:12:23,890776036+09:00,26124,5964,77,451.52,23761736
2026-08-24T22:12:24,907481233+09:00,27340,4748,100,401.13,23764388
2026-08-24T22:12:25,924637248+09:00,28236,3852,94,446.18,23764692
2026-08-24T22:12:26,941458530+09:00,29036,3052,97,417.56,23764476
2026-08-24T22:12:27,961871536+09:00,30156,1932,88,508.89,23759276
2026-08-24T22:12:28,981258585+09:00,28396,3692,96,491.80,23759732
2026-08-24T22:12:30,000021278+09:00,29196,2892,94,508.77,23742268
2026-08-24T22:12:31,016602000+09:00,29196,2892,100,499.61,23743296
2026-08-24T22:12:32,036708499+09:00,29196,2892,100,500.01,23748380
2026-08-24T22:12:33,052851528+09:00,28844,3244,100,499.88,23749108
2026-08-24T22:12:34,069488144+09:00,28844,3244,100,500.19,23749316
2026-08-24T22:12:35,086413991+09:00,28844,3244,100,500.00,23748224
2026-08-24T22:12:36,103226839+09:00,28844,3244,100,499.72,23746624
2026-08-24T22:12:37,120035845+09:00,28844,3244,100,500.41,23744652
2026-08-24T22:12:38,136225094+09:00,27500,4588,100,499.91,23701160
2026-08-24T22:12:39,151976060+09:00,27500,4588,100,492.76,23705016
2026-08-24T22:12:40,168561025+09:00,27500,4588,100,507.06,23707480
2026-08-24T22:12:41,185294275+09:00,27500,4588,100,499.89,23701620
2026-08-24T22:12:42,203296594+09:00,27500,4588,100,500.14,23704948
2026-08-24T22:12:43,219229248+09:00,27500,4588,100,500.01,23701952
2026-08-24T22:12:44,234568362+09:00,27500,4588,100,500.16,23700700
2026-08-24T22:12:45,250027572+09:00,27500,4588,100,499.11,23701628
2026-08-24T22:12:46,266922377+09:00,27500,4588,99,499.88,23702216
2026-08-24T22:12:47,285442082+09:00,27500,4588,100,499.95,23706080
2026-08-24T22:12:48,302032559+09:00,27500,4588,100,499.73,23699744
2026-08-24T22:12:49,327470523+09:00,27500,4588,100,499.91,23701208
2026-08-24T22:12:50,343215793+09:00,27500,4588,100,499.72,23701752
2026-08-24T22:12:51,360570495+09:00,27500,4588,100,499.86,23701236
2026-08-24T22:12:52,378060271+09:00,27500,4588,100,499.95,23705572
2026-08-24T22:12:53,394095128+09:00,27500,4588,99,499.67,23706740
2026-08-24T22:12:54,410992121+09:00,27500,4588,100,500.11,23704976
2026-08-24T22:12:55,427977381+09:00,27500,4588,100,499.91,23705400
2026-08-24T22:12:56,444007548+09:00,27500,4588,100,500.12,23704464
2026-08-24T22:12:57,460271987+09:00,27500,4588,100,499.95,23704804
2026-08-24T22:12:58,477387575+09:00,27500,4588,100,499.73,23706148
2026-08-24T22:12:59,493384253+09:00,27500,4588,100,499.95,23705896
2026-08-24T22:13:00,512023120+09:00,27500,4588,100,500.10,23700604
2026-08-24T22:13:01,528010703+09:00,27500,4588,98,500.27,23703916
2026-08-24T22:13:02,544403224+09:00,27500,4588,100,500.10,23702920
2026-08-24T22:13:03,560752022+09:00,27500,4588,100,499.72,23700976
2026-08-24T22:13:04,577660434+09:00,27500,4588,100,499.87,23703992
2026-08-24T22:13:05,593425009+09:00,27500,4588,100,492.55,23707640
2026-08-24T22:13:06,609496223+09:00,27500,4588,100,508.15,23706548
2026-08-24T22:13:07,625741980+09:00,27500,4588,100,500.01,23707192
2026-08-24T22:13:08,645044395+09:00,27500,4588,100,499.88,23712620
2026-08-24T22:13:09,660924283+09:00,27500,4588,100,500.05,23705132
2026-08-24T22:13:10,677144349+09:00,27500,4588,100,499.93,23709608
2026-08-24T22:13:11,693147497+09:00,27500,4588,100,500.17,23707728
2026-08-24T22:13:12,709471553+09:00,27500,4588,100,499.68,23705472
2026-08-24T22:13:13,726547809+09:00,27500,4588,100,499.89,23701344
2026-08-24T22:13:14,742762080+09:00,27500,4588,100,499.92,23704648
2026-08-24T22:13:15,758639445+09:00,27500,4588,100,499.89,23704564
2026-08-24T22:13:16,778104217+09:00,27500,4588,100,500.06,23698080
2026-08-24T22:13:17,793730399+09:00,27500,4588,100,500.01,23691548
2026-08-24T22:13:18,809409826+09:00,27500,4588,100,499.96,23692860
2026-08-24T22:13:19,828787547+09:00,27500,4588,100,500.10,23696068
2026-08-24T22:13:20,845115402+09:00,27500,4588,100,499.89,23693460
2026-08-24T22:13:21,861207707+09:00,27500,4588,100,500.15,23696544
2026-08-24T22:13:22,878179588+09:00,27500,4588,100,499.94,23699024
2026-08-24T22:13:23,894065009+09:00,27500,4588,100,499.90,23696788
2026-08-24T22:13:24,913097707+09:00,27500,4588,100,499.92,23697380
2026-08-24T22:13:25,928892741+09:00,27500,4588,100,500.07,23697516
2026-08-24T22:13:26,945997372+09:00,27500,4588,100,500.09,23697392
2026-08-24T22:13:27,966244941+09:00,27500,4588,100,500.10,23699104
2026-08-24T22:13:28,982598379+09:00,27500,4588,100,499.80,23702408
2026-08-24T22:13:29,998829375+09:00,27500,4588,100,499.91,23702360
2026-08-24T22:13:31,016432618+09:00,27500,4588,100,499.93,23698656
2026-08-24T22:13:32,032195735+09:00,27500,4588,100,500.20,23700172
2026-08-24T22:13:33,048260541+09:00,27500,4588,100,500.07,23698672
2026-08-24T22:13:34,064374741+09:00,27500,4588,100,499.74,23700392
2026-08-24T22:13:35,080644973+09:00,27500,4588,100,499.91,23697872
2026-08-24T22:13:36,097599344+09:00,27500,4588,100,499.93,23700428
2026-08-24T22:13:37,114723838+09:00,27500,4588,100,499.98,23705616
2026-08-24T22:13:38,130844808+09:00,27500,4588,100,499.64,23701320
2026-08-24T22:13:39,148497720+09:00,27500,4588,100,499.97,23696896
2026-08-24T22:13:40,163981733+09:00,27500,4588,100,499.67,23696904
2026-08-24T22:13:41,179427922+09:00,21388,10700,100,484.17,23687320
2026-08-24T22:13:42,197603797+09:00,25270,6818,0,157.12,23362880
2026-08-24T22:13:43,215922824+09:00,25814,6274,18,339.24,23365204
2026-08-24T22:13:44,234196377+09:00,25910,6178,99,500.09,23268164
2026-08-24T22:13:45,252936034+09:00,25910,6178,99,499.96,23174064
2026-08-24T22:13:46,272486209+09:00,25910,6178,99,498.66,22998360
2026-08-24T22:13:47,290810194+09:00,25910,6178,80,496.90,22921168
2026-08-24T22:13:48,308997387+09:00,25910,6178,99,504.35,22833276
2026-08-24T22:13:49,327855180+09:00,25910,6178,99,505.98,22744624
2026-08-24T22:13:50,346522122+09:00,25910,6178,99,500.38,22668900
2026-08-24T22:13:51,364564241+09:00,25910,6178,99,499.90,22577672
2026-08-24T22:13:52,382015457+09:00,25910,6178,99,499.23,22498140
2026-08-24T22:13:53,400574514+09:00,25910,6178,99,500.89,22406420
2026-08-24T22:13:54,418930630+09:00,25910,6178,99,500.11,22327132
2026-08-24T22:13:55,455457487+09:00,25910,6178,99,500.00,22244472
2026-08-24T22:13:56,471294554+09:00,25526,6562,0,228.62,22020276
2026-08-24T22:13:57,487495198+09:00,918,31170,0,98.45,22031492
2026-08-24T22:13:58,504844421+09:00,918,31170,0,86.39,22031244
2026-08-24T22:13:59,521897504+09:00,918,31170,0,83.08,22032232
